date,gross_reserves_usd_m,source,fx_reserves_usd_m,imf_position_usd_m,sdrs_usd_m,gold_usd_m,import_cover_months,mom_change_usd_m
2008-02-01,3368.0,Interpolated from World Bank annual,,,,,2.2453333333333334,-75.0
2008-03-01,3293.0,Interpolated from World Bank annual,,,,,2.195333333333333,-75.0
2008-04-01,3218.0,Interpolated from World Bank annual,,,,,2.1453333333333333,-75.0
2008-05-01,3143.0,Interpolated from World Bank annual,,,,,2.0953333333333335,-75.0
2008-06-01,3067.0,Interpolated from World Bank annual,,,,,2.0446666666666666,-76.0
2008-07-01,2992.0,Interpolated from World Bank annual,,,,,1.9946666666666666,-75.0
2008-08-01,2917.0,Interpolated from World Bank annual,,,,,1.9446666666666668,-75.0
2008-09-01,2842.0,Interpolated from World Bank annual,,,,,1.8946666666666667,-75.0
2008-10-01,2767.0,Interpolated from World Bank annual,,,,,1.8446666666666667,-75.0
2008-11-01,2692.0,Interpolated from World Bank annual,,,,,1.7946666666666666,-75.0
2008-12-01,2617.0,Interpolated from World Bank annual,,,,,1.7446666666666666,-75.0
2009-01-01,2845.0,Interpolated from World Bank annual,,,,,1.8966666666666667,228.0
2009-02-01,3073.0,Interpolated from World Bank annual,,,,,2.0486666666666666,228.0
2009-03-01,3301.0,Interpolated from World Bank annual,,,,,2.2006666666666668,228.0
2009-04-01,3529.0,Interpolated from World Bank annual,,,,,2.3526666666666665,228.0
2009-05-01,3757.0,Interpolated from World Bank annual,,,,,2.5046666666666666,228.0
2009-06-01,3985.0,Interpolated from World Bank annual,,,,,2.6566666666666667,228.0
2009-07-01,4213.0,Interpolated from World Bank annual,,,,,2.808666666666667,228.0
2009-08-01,4441.0,Interpolated from World Bank annual,,,,,2.9606666666666666,228.0
2009-09-01,4669.0,Interpolated from World Bank annual,,,,,3.1126666666666667,228.0
2009-10-01,4897.0,Interpolated from World Bank annual,,,,,3.264666666666667,228.0
2009-11-01,5126.0,Interpolated from World Bank annual,,,,,3.417333333333333,229.0
2009-12-01,5354.0,Interpolated from World Bank annual,,,,,3.5693333333333332,228.0
2010-01-01,5507.0,Interpolated from World Bank annual,,,,,3.671333333333333,153.0
2010-02-01,5661.0,Interpolated from World Bank annual,,,,,3.774,154.0
2010-03-01,5814.0,Interpolated from World Bank annual,,,,,3.876,153.0
2010-04-01,5968.0,Interpolated from World Bank annual,,,,,3.978666666666667,154.0
2010-05-01,6121.0,Interpolated from World Bank annual,,,,,4.080666666666667,153.0
2010-06-01,6274.0,Interpolated from World Bank annual,,,,,4.182666666666667,153.0
2010-07-01,6428.0,Interpolated from World Bank annual,,,,,4.285333333333333,154.0
2010-08-01,6581.0,Interpolated from World Bank annual,,,,,4.387333333333333,153.0
2010-09-01,6735.0,Interpolated from World Bank annual,,,,,4.49,154.0
2010-10-01,6888.0,Interpolated from World Bank annual,,,,,4.592,153.0
2010-11-01,7042.0,Interpolated from World Bank annual,,,,,4.6946666666666665,154.0
2010-12-01,7195.0,Interpolated from World Bank annual,,,,,4.796666666666667,153.0
2011-01-01,7157.0,Interpolated from World Bank annual,,,,,4.771333333333334,-38.0
2011-02-01,7119.0,Interpolated from World Bank annual,,,,,4.746,-38.0
2011-03-01,7081.0,Interpolated from World Bank annual,,,,,4.720666666666666,-38.0
2011-04-01,7043.0,Interpolated from World Bank annual,,,,,4.695333333333333,-38.0
2011-05-01,7005.0,Interpolated from World Bank annual,,,,,4.67,-38.0
2011-06-01,6967.0,Interpolated from World Bank annual,,,,,4.644666666666667,-38.0
2011-07-01,6929.0,Interpolated from World Bank annual,,,,,4.6193333333333335,-38.0
2011-08-01,6891.0,Interpolated from World Bank annual,,,,,4.594,-38.0
2011-09-01,6853.0,Interpolated from World Bank annual,,,,,4.568666666666667,-38.0
2011-10-01,6815.0,Interpolated from World Bank annual,,,,,4.543333333333333,-38.0
2011-11-01,6777.0,Interpolated from World Bank annual,,,,,4.518,-38.0
2011-12-01,6739.0,Interpolated from World Bank annual,,,,,4.492666666666667,-38.0
2012-01-01,6770.0,Interpolated from World Bank annual,,,,,4.513333333333334,31.0
2012-02-01,6800.0,Interpolated from World Bank annual,,,,,4.533333333333333,30.0
2012-03-01,6831.0,Interpolated from World Bank annual,,,,,4.554,31.0
2012-04-01,6862.0,Interpolated from World Bank annual,,,,,4.574666666666666,31.0
2012-05-01,6892.0,Interpolated from World Bank annual,,,,,4.594666666666667,30.0
2012-06-01,6923.0,Interpolated from World Bank annual,,,,,4.615333333333333,31.0
2012-07-01,6953.0,Interpolated from World Bank annual,,,,,4.6353333333333335,30.0
2012-08-01,6984.0,Interpolated from World Bank annual,,,,,4.656,31.0
2012-09-01,7015.0,Interpolated from World Bank annual,,,,,4.676666666666667,31.0
2012-10-01,7045.0,Interpolated from World Bank annual,,,,,4.696666666666666,30.0
2012-11-01,7076.0,Interpolated from World Bank annual,,,,,4.717333333333333,31.0
2012-12-01,7106.0,Interpolated from World Bank annual,,,,,4.737333333333333,30.0
2013-01-01,7139.0,Interpolated from World Bank annual,,,,,4.759333333333333,33.0
2013-02-01,7172.0,Interpolated from World Bank annual,,,,,4.781333333333333,33.0
2013-03-01,7205.0,Interpolated from World Bank annual,,,,,4.803333333333334,33.0
2013-04-01,7238.0,Interpolated from World Bank annual,,,,,4.825333333333333,33.0
2013-05-01,7270.0,Interpolated from World Bank annual,,,,,4.846666666666667,32.0
2013-06-01,7303.0,Interpolated from World Bank annual,,,,,4.868666666666667,33.0
2013-07-01,7336.0,Interpolated from World Bank annual,,,,,4.890666666666666,33.0
2013-08-01,7369.0,Interpolated from World Bank annual,,,,,4.9126666666666665,33.0
2013-09-01,7402.0,Interpolated from World Bank annual,,,,,4.934666666666667,33.0
2013-10-01,7434.0,Interpolated from World Bank annual,,,,,4.956,32.0
2013-11-01,7005.112547885943,CBSL Official Reserve Assets Historical,6001.298932181784,73.46792129611,15.496370002560733,913.8704970807928,4.670075031923962,-428.88745211405694
2013-12-01,7495.272121523254,CBSL Official Reserve Assets Historical,6521.128482064121,73.7044,15.5466214006562,883.9103859184876,4.996848081015503,490.15957363731104
2014-01-01,8048.583905345139,CBSL Official Reserve Assets Historical,7037.420353038395,73.4195874522,15.49064669541538,921.274764560043,5.365722603563426,553.311783821885
2014-02-01,8259.552166921556,CBSL Official Reserve Assets Historical,7276.541099843131,74.0512772934,8.485246503685474,899.4875669199731,5.506368111281037,210.9682615764168
2014-03-01,8059.724448730886,CBSL Official Reserve Assets Historical,7078.31073571379,73.96657342833001,8.478572121788993,897.9827216199715,5.373149632487258,-199.82771819066966
2014-04-01,8896.731082422368,CBSL Official Reserve Assets Historical,7923.626232286314,74.16086590979,14.69855948174602,883.2569876899939,5.931154054948245,837.0066336914815
2014-05-01,8772.663840758212,CBSL Official Reserve Assets Historical,7791.76453238364,73.71964012677,8.864875280136685,897.3322360300346,5.848442560505474,-124.06724166415552
2014-06-01,9164.004705013178,CBSL Official Reserve Assets Historical,8139.863709469786,73.9790142581,8.89970539347883,940.27626073999,6.1093364700087855,391.3408642549657
2014-07-01,8973.741181262614,CBSL Official Reserve Assets Historical,7964.566061151585,73.28128412989999,14.178902448809694,920.7382224700524,5.982494120841743,-190.26352375056376
2014-08-01,9185.637359336446,CBSL Official Reserve Assets Historical,8143.508181769976,72.66251674858,9.160660353512815,959.308033520026,6.123758239557631,211.89617807383183
2014-09-01,8821.804336421244,CBSL Official Reserve Assets Historical,7837.250892520176,70.95025443659999,8.94735422027554,903.6734398399332,5.881202890947496,-363.8330229152016
2014-10-01,8790.920103836674,CBSL Official Reserve Assets Historical,7839.069332678096,70.74591234403,13.359276456600638,866.7705965699507,5.8606134025577825,-30.884232584570782
2014-11-01,8330.88205481358,CBSL Official Reserve Assets Historical,7365.591721912065,70.07163129384,9.25504764517636,884.9558162589823,5.553921369875721,-460.03804902309275
2014-12-01,8208.41,CBSL Official Reserve Assets Historical,7236.246559593665,69.33322415370999,9.158906440846543,892.7071157494242,5.472273333333333,-122.47205481358105
2015-01-01,7252.429999999999,CBSL Official Reserve Assets Historical,6272.15,67.47,8.91,902.96,4.834953333333333,-955.9800000000005
2015-02-01,7420.4554996301695,CBSL Official Reserve Assets Historical,6477.158042591045,67.3510565931,9.022894577776764,865.9868701999247,4.94697033308678,168.0254996301701
2015-03-01,6819.545505227352,CBSL Official Reserve Assets Historical,5894.962838339052,66.0158940021,8.84528254195645,848.8034228398043,4.5463636701515675,-600.9099944028176
2015-04-01,7454.631473478869,CBSL Official Reserve Assets Historical,6521.749265632507,67.3046369618,14.776070733848243,849.3079943899172,4.96975431565258,635.0859682515174
2015-05-01,6845.77,CBSL Official Reserve Assets Historical,5915.14,66.54,11.68,851.51,4.563846666666667,-608.8614734788689
2015-06-01,7525.485379478358,CBSL Official Reserve Assets Historical,6606.369917062229,67.3032013031,11.815671215645803,839.055275989828,5.016990252985572,679.7153794783571
2015-07-01,6808.550649772876,CBSL Official Reserve Assets Historical,5957.693245296405,66.743772963,9.044656539145263,774.0963425498503,4.53903376651525,-716.9347297054819
2015-08-01,6457.719028229418,CBSL Official Reserve Assets Historical,5572.66120594564,67.179256102,9.102524183489187,807.7567506599404,4.305146018819612,-350.8316215434579
2015-09-01,6783.679258500682,CBSL Official Reserve Assets Historical,5907.996188318565,67.17638478459999,9.1045579805808,798.3127981798227,4.522452839000455,325.96023027126466
2015-10-01,6480.684974502037,CBSL Official Reserve Assets Historical,5587.216574092876,66.84762033917,9.058794162850717,816.5994966098302,4.320456649668025,-302.9942839986452
2015-11-01,7281.211071319568,CBSL Official Reserve Assets Historical,6451.444499890437,65.66559465147,6.670379080575061,756.4681083997755,4.854140714213045,800.5260968175307
2015-12-01,7303.637753940239,CBSL Official Reserve Assets Historical,6469.407966310271,66.31451239743,6.737492701993582,760.2041775298603,4.86909183596016,22.426682620671272
2016-01-01,6294.321468539339,CBSL Official Reserve Assets Historical,5423.005238521006,66.0642292255,6.713255529744546,797.5720258499118,4.196214312359559,-1009.3162854009006
2016-02-01,6573.369087438172,CBSL Official Reserve Assets Historical,5616.736906599328,66.10299201121,6.824115805846567,881.5525555999861,4.3822460582921146,279.0476188988332
2016-03-01,6221.186356293166,CBSL Official Reserve Assets Historical,5259.558915701182,67.41949106662,6.961235082625935,886.2643025499652,4.147457570862111,-352.1827311450061
2016-04-01,6068.525257617199,CBSL Official Reserve Assets Historical,5079.216924212857,67.82673959303,6.984874374828297,913.5118410599722,4.045683505078133,-152.66109867596697
2016-05-01,5645.141094794298,CBSL Official Reserve Assets Historical,4705.223632215986,67.13523063808,5.471434500437177,866.3386006198972,3.763427396529532,-423.3841628229011
2016-06-01,5292.27,CBSL Official Reserve Assets Historical,4277.7,66.94,4.11,942.55,3.5281800000000003,-352.8710947942973
2016-07-01,6489.187703676498,CBSL Official Reserve Assets Historical,5451.791092031718,66.68060537358001,5.492596671936674,964.2565345400168,4.326125135784332,1196.9177036764977
2016-08-01,6598.941049091874,CBSL Official Reserve Assets Historical,5586.730425703543,66.7246322413,4.080487312667312,940.4373046600052,4.399294032727917,109.75334541537632
2016-09-01,6455.718499925342,CBSL Official Reserve Assets Historical,5434.128937663378,66.79689373071,4.086190517461111,949.6951694000048,4.303812333283561,-143.2225491665322
2016-10-01,6053.842609846051,CBSL Official Reserve Assets Historical,5071.877567724941,65.75,4.023167232248938,911.1964802199118,4.035895073230701,-401.8758900792909
2016-11-01,5644.133101910387,CBSL Official Reserve Assets Historical,4727.600285827104,64.78457874416,2.039137112153782,848.7282595199055,3.7627554012735915,-409.7095079356641
2016-12-01,6019.035611001512,CBSL Official Reserve Assets Historical,5121.224243693658,64.33330335003001,2.0267083299205875,830.4773471998664,4.0126904073343415,374.90250909112456
2017-01-01,5453.161533649116,CBSL Official Reserve Assets Historical,4527.544328579585,65.02720506953,2.05,857.56,3.635441022432744,-565.874077352396
2017-02-01,5634.658678738561,CBSL Official Reserve Assets Historical,4673.162795520925,64.79079993199001,0.1483024169528925,895.5758464400001,3.7564391191590407,181.49714508944544
2017-03-01,5117.259154753076,CBSL Official Reserve Assets Historical,4162.082811168235,64.93245159335,0.1550960915885633,889.105719089942,3.411506103168717,-517.3995239854858
2017-04-01,5048.0818935876005,CBSL Official Reserve Assets Historical,4072.7085090059904,65.61056106682,2.203717299057116,906.565758549967,3.3653879290584,-69.1772611654751
2017-05-01,6759.704093553758,CBSL Official Reserve Assets Historical,5787.15335852223,66.24703643712,0.2021891810963934,905.09852834,4.5064693957025055,1711.6221999661575
2017-06-01,6959.025226455214,CBSL Official Reserve Assets Historical,6001.131222609536,66.58537334449,0.2643728567345508,890.0361577499838,4.6393501509701425,199.3211329014557
2017-07-01,6710.485696665525,CBSL Official Reserve Assets Historical,5730.392327950454,67.36828590525,4.677729368738812,907.0273992699432,4.47365713111035,-248.53952978968846
2017-08-01,7693.548007249217,CBSL Official Reserve Assets Historical,6687.995900647561,67.63818974649,2.3000194383452577,934.5898554999836,5.129032004832812,983.0623105836921
2017-09-01,7279.835590729757,CBSL Official Reserve Assets Historical,6286.795877332948,67.6338827703,2.31564104536986,922.021776260024,4.853223727153171,-413.71241651946
2017-10-01,7500.7921236637585,CBSL Official Reserve Assets Historical,6517.448724071269,67.22184871479,2.3172059620372383,912.7424398499776,5.000528082442505,220.9565329340012
2017-11-01,7335.117235752753,CBSL Official Reserve Assets Historical,6346.838677211015,67.73533598722,2.404223864175615,917.0689796699124,4.890078157168502,-165.6748879110055
2017-12-01,7958.65303040954,CBSL Official Reserve Assets Historical,6956.896962901672,68.15215557183,4.461255354629338,928.0660489800778,5.305768686939693,623.5357946567874
2018-01-01,7669.98,CBSL Official Reserve Assets Historical,6634.43,69.64,4.57,960.24,5.11332,-288.67303040954084
2018-02-01,7922.369345490189,CBSL Official Reserve Assets Historical,6906.460348361344,69.19348670398999,0.5508532030117009,945.0716049400214,5.2815795636601255,252.38934549018904
2018-03-01,7319.749709742925,CBSL Official Reserve Assets Historical,6353.255340874654,69.56580086797,0.5747538186977653,894.923657379987,4.879833139828617,-602.6196357472636
2018-04-01,9935.768813397091,CBSL Official Reserve Assets Historical,9018.446439443143,68.8063373998,5.324518391101833,841.4911356600456,6.623845875598061,2616.0191036541664
2018-05-01,8808.916585622243,CBSL Official Reserve Assets Historical,7904.846754078268,67.79444061654122,2.140059083990132,833.3100028800051,5.872611057081495,-1126.8522277748489
2018-06-01,9267.017122111823,CBSL Official Reserve Assets Historical,8392.154119907551,67.31181666187001,6.242433202441807,799.9787523399611,6.178011414741215,458.1005364895809
2018-07-01,8429.671933126869,CBSL Official Reserve Assets Historical,7573.217618767607,67.23046266717,6.25694530508725,781.8059082299837,5.619781288751246,-837.3451889849548
2018-08-01,8584.53782202296,CBSL Official Reserve Assets Historical,7747.180926111737,67.06392625449,0.5033619753235307,768.6943816199613,5.723025214681973,154.86588889609084
2018-09-01,7164.0793420685,CBSL Official Reserve Assets Historical,6334.38813801603,66.77009476775001,0.5268343065378865,760.5579544899115,4.7760528947123335,-1420.458479954459
2018-10-01,7903.305318148267,CBSL Official Reserve Assets Historical,7052.688845718352,66.14223334983001,7.457966305531649,775.8089654699437,5.268870212098845,739.225976079767
2018-11-01,7005.322478512801,CBSL Official Reserve Assets Historical,6157.338179805389,66.19487416993,1.211076776059197,779.4872843699247,4.670214985675201,-897.982839635466
2018-12-01,6919.216639148527,CBSL Official Reserve Assets Historical,6037.501839134236,66.55666016989,1.2440755283051743,819.0616756199594,4.612811092765685,-86.10583936427429
2019-01-01,6152.196208752774,CBSL Official Reserve Assets Historical,5233.016344041145,67.0309061037,7.162722981816052,843.8158291199625,4.101464139168516,-767.0204303957535
2019-02-01,6035.155009941658,CBSL Official Reserve Assets Historical,5126.769343705842,66.90073971218,0.36618128928,838.7577048799386,4.023436673294439,-117.04119881111546
2019-03-01,7629.241941007436,CBSL Official Reserve Assets Historical,6735.910333353807,66.43510773075,0.4227822941961051,825.3779444099246,5.086161294004958,1594.0869310657781
2019-04-01,7213.972057497156,CBSL Official Reserve Assets Historical,6319.458995818522,66.31594805616001,7.371788729091335,819.7322602799442,4.809314704998104,-415.2698835102801
2019-05-01,6722.612629789063,CBSL Official Reserve Assets Historical,5824.361518627588,65.92640598742001,7.746770106639707,833.8081514799946,4.481741753192709,-491.3594277080929
2019-06-01,8864.984523119312,CBSL Official Reserve Assets Historical,7890.880177001172,66.52890410111,7.353092312401438,900.2119984800819,5.909989682079542,2142.371893330249
2019-07-01,8347.063830786541,CBSL Official Reserve Assets Historical,7356.831309321293,65.82112434722,14.594122174711115,902.9103034000976,5.564709220524361,-517.9206923327711
2019-08-01,8523.712277937197,CBSL Official Reserve Assets Historical,7494.660601122991,65.48230888693999,7.290010138029388,956.8327472800836,5.682474851958131,176.64844715065556
2019-09-01,7635.331963594275,CBSL Official Reserve Assets Historical,6631.671242422526,65.24159677321,7.29165432272439,926.696902230068,5.0902213090628505,-888.3803143429213
2019-10-01,7780.083013603978,CBSL Official Reserve Assets Historical,6752.639899860887,66.01110985249,7.406435889843259,952.1819402501416,5.186722009069318,144.75105000970234
2019-11-01,7520.452982431865,CBSL Official Reserve Assets Historical,6523.900823304263,65.7005290139,7.247737928265381,916.4827482101044,5.013635321621243,-259.63003117211247
2019-12-01,7642.393000751939,CBSL Official Reserve Assets Historical,6616.372127385561,66.17573205353,7.3240043404767325,954.8786531201208,5.0949286671679594,121.94001832007416
2020-01-01,7512.733529432759,CBSL Official Reserve Assets Historical,6513.971348897472,65.89434294245,7.3168494705418095,935.5511019801118,5.008489019621839,-129.65947131918074
2020-02-01,7941.515070351391,CBSL Official Reserve Assets Historical,7545.645533609353,65.71871402448001,0.4829395746671904,341.5418752401859,5.2943433802342605,428.78154091863234
2020-03-01,7533.736569408685,CBSL Official Reserve Assets Historical,7125.383680076962,65.3129011568,0.5003688724843373,339.7089058301294,5.022491046272457,-407.77850094270616
2020-04-01,7209.520101152639,CBSL Official Reserve Assets Historical,6765.56143985292,65.27126705363001,7.333068418113456,369.05030490017214,4.806346734101759,-324.216468256046
2020-05-01,6499.857251537734,CBSL Official Reserve Assets Historical,6057.850264729003,65.65841635782,2.6299482953587225,372.6828572432785,4.333238167691823,-709.6628496149051
2020-06-01,6694.648013475818,CBSL Official Reserve Assets Historical,6241.060018930219,65.8345238287,2.6457379394990546,383.60205665824697,4.463098675650545,194.79076193808396
2020-07-01,7095.831822594811,CBSL Official Reserve Assets Historical,6600.583277571981,67.62287605337,6.40056271903575,425.5827715882805,4.73055454839654,401.18380911899294
2020-08-01,7430.083006707859,CBSL Official Reserve Assets Historical,6934.378154304188,67.90235095281,2.672858479221796,423.8456506982248,4.953388671138573,334.2511841130481
2020-09-01,6666.320938200717,CBSL Official Reserve Assets Historical,6188.892442954664,67.35967195287,2.6534402492217675,406.18689604818616,4.444213958800478,-763.7620685071415
2020-10-01,5855.74394110227,CBSL Official Reserve Assets Historical,5379.255426028151,67.55444298724001,6.333327135508758,402.2603351282228,3.9038292940681796,-810.5769970984475
2020-11-01,5555.275602812615,CBSL Official Reserve Assets Historical,5101.119316154276,68.43737310619001,2.582634335089562,382.7373794581642,3.7035170685417436,-300.46833828965464
2020-12-01,5664.265569350756,CBSL Official Reserve Assets Historical,5185.147154450685,68.92453996857,2.603506028406858,408.8878874695427,3.7761770462338373,108.98996653814083
2021-01-01,4841.863004371764,CBSL Official Reserve Assets Historical,4365.344107248174,68.9499032728,6.641043437161345,397.9654571982893,3.227908669581176,-822.4025649789919
2021-02-01,4582.993424023525,CBSL Official Reserve Assets Historical,4125.455237273178,68.87668467757,2.76836363926936,381.3599599782282,3.055328949349017,-258.86958034823874
2021-03-01,4055.2,CBSL Official Reserve Assets Historical,3610.656765418401,67.82099695811,2.7284500040483897,367.82484816836205,2.7034666666666665,-527.7934240235254
2021-04-01,4470.738472224253,CBSL Official Reserve Assets Historical,4013.2218831923983,68.71971932309,6.491208970121892,381.05302913827904,2.9804923148161686,415.5384722242534
2021-05-01,4032.831217910092,CBSL Official Reserve Assets Historical,3548.5948506768955,69.13510324897,2.9301115227978944,410.7219339083709,2.688554145273395,-437.90725431416104
2021-06-01,4060.0459080962846,CBSL Official Reserve Assets Historical,3599.194420172977,68.26174418822,8.643235091091306,381.2641113983378,2.7066972720641895,27.214690186192456
2021-07-01,2805.884166609781,CBSL Official Reserve Assets Historical,2334.4217196247946,68.37420412207001,12.231014168869384,390.7574285982992,1.8705894444065208,-1254.1617414865036
2021-08-01,3543.508985941734,CBSL Official Reserve Assets Historical,2954.224646512238,68.15837675966,129.3,390.6357332184286,2.362339323961156,737.624819331953
2021-09-01,2704.1872990039246,CBSL Official Reserve Assets Historical,2129.1970316576635,67.42188383117,127.9,378.4306550668372,1.8027915326692832,-839.3216869378093
2021-10-01,2269.211946488995,CBSL Official Reserve Assets Historical,1687.732932944309,67.73342177558001,128.5,384.1223375883549,1.5128079643259968,-434.97535251492945
2021-11-01,1588.37233054694,CBSL Official Reserve Assets Historical,1014.6678115731258,67.03569163280001,123.7,382.2139815983279,1.0589148870312934,-680.8396159420552
2021-12-01,3139.2264604363068,CBSL Official Reserve Assets Historical,2771.950604309453,66.97778673069,123.55832378048096,175.37950520835307,2.092817640290871,1550.8541298893667
2022-01-01,2361.645210710561,CBSL Official Reserve Assets Historical,2079.0822190842528,66.60403690798,122.87020477320132,92.01475891839098,1.5744301404737073,-777.5812497257457
2022-02-01,2311.250466948733,CBSL Official Reserve Assets Historical,2026.211458689099,66.75143120426,119.54321698144474,97.6679900699851,1.5408336446324886,-50.39474376182807
2022-03-01,1917.0,CBSL Official Reserve Assets Historical,1701.5156177668896,66.1551542784,118.4771662909726,29.322753479966558,1.278,-394.250466948733
2022-04-01,1812.0,CBSL Official Reserve Assets Historical,1602.2132233302032,64.3318676913,115.19728005431384,28.727127709960502,1.208,-105.0
2022-05-01,1887.0,CBSL Official Reserve Assets Historical,1776.443218752245,64.59028626269999,16.728281250120986,27.829599059984474,1.258,75.0
2022-06-01,1854.0,CBSL Official Reserve Assets Historical,1745.8068806701,63.54129828398,16.463361118497374,27.373033419973755,1.236,-33.0
2022-07-01,1817.0,CBSL Official Reserve Assets Historical,1709.2536743990577,63.341263167600005,16.41826927392439,26.74438465997783,1.2113333333333334,-37.0
2022-08-01,1717.0,CBSL Official Reserve Assets Historical,1619.7293473292389,62.27600438994,8.453476079115822,25.91562865996766,1.1446666666666667,-100.0
2022-09-01,1779.0,CBSL Official Reserve Assets Historical,1682.8377556750895,61.24902984508,8.335055932475932,25.149131609975203,1.186,62.0
2022-10-01,1705.0,CBSL Official Reserve Assets Historical,1609.8058427330575,3.66416638739,66.12635279254013,24.742857879961463,1.1366666666666667,-74.0
2022-11-01,1806.0,CBSL Official Reserve Assets Historical,1733.1032348497404,3.75425081844,40.98827921177144,26.785284699969026,1.204,101.0
2022-12-01,1898.0,CBSL Official Reserve Assets Historical,1863.34032475192,3.79993547444,1.8062851357314544,27.626916639971355,1.2653333333333334,92.0
2023-01-01,2121.0,CBSL Official Reserve Assets Historical,2065.432830597256,3.85027425477,21.693903222956145,29.20793040995196,1.414,223.0
2023-02-01,2219.0,CBSL Official Reserve Assets Historical,2184.287508726556,3.79408212789,1.726419778645579,27.671755199985174,1.4793333333333334,98.0
2023-03-01,2694.0,CBSL Official Reserve Assets Historical,2629.1164092506947,3.8410231119299993,28.414852056179377,29.82264284079628,1.796,475.0
2023-04-01,2761.0,CBSL Official Reserve Assets Historical,2692.70596778638,3.84610552991,28.435647809627756,30.13863353999689,1.8406666666666667,67.0
2023-05-01,3491.0,CBSL Official Reserve Assets Historical,3445.19039360963,3.79028459086,4.3729134257468845,29.727815359986145,2.3273333333333333,730.0
2023-06-01,3724.0,CBSL Official Reserve Assets Historical,3679.993115625231,3.79773690037,4.381511277152309,29.06993063996374,2.482666666666667,233.0
2023-07-01,3765.0,CBSL Official Reserve Assets Historical,3696.979610834912,3.83448449554,33.6999995794584,29.76023242998622,2.51,41.0
2023-08-01,3600.0,CBSL Official Reserve Assets Historical,3561.746309634653,3.79736571254,4.556530046265157,29.384103539973854,2.4,-165.0
2023-09-01,3540.0,CBSL Official Reserve Assets Historical,3498.8954179148086,3.75465055918,4.505275335917647,27.997592179974717,2.36,-60.0
2023-10-01,3569.0,CBSL Official Reserve Assets Historical,3493.981408469624,3.75225211474,34.333375397617814,30.044260489972405,2.3793333333333333,29.0
2023-11-01,3571.0,CBSL Official Reserve Assets Historical,3531.702677946665,3.80693093739,4.982640727190736,30.8427201599612,2.3806666666666665,2.0
2023-12-01,4392.0,CBSL Official Reserve Assets Historical,4336.473731921045,3.83085827597,33.67018672906619,31.24429795994917,2.928,821.0
